UniqueCount	AmbigCount
13	0
8	0
19	0
18	0
0	0
13	0
13	1
8	0
0	0
113	2
157	2
23	0
0	0
1	0
1	0
0	0
2	0
43	2
3	1
2	1
0	4
5	13
3	2
3	1
3	0
26	2
17	1
12	0
42	5
5	0
11	0
22	18
3	1
12	1
4	2
0	5
1	2
2	1
0	0
1	0
0	0
11	0
8	0
42	0
16	0
28	0
17	0
14	0
7	0
0	0
0	0
12	0
13	0
17	0
32	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
4	1
4	0
2	0
0	0
2	0
16	0
4	1
0	0
7	0
8	0
7	1
0	0
4	0
1	0
29	0
178	0
87	0
30	0
137	0
32	0
17	0
7	0
25	0
41	0
18	0
41	0
3	1
12	0
33	0
11	0
13	2
10	0
12	0
5	0
17	0
3	0
2	0
5	0
0	0
0	0
0	0
1	0
3	0
1	0
0	0
4	2
33	0
53	0
12	0
6	0
3	0
0	0
1	0
1	0
0	0
0	2
7	5
4	2
12	0
5	0
14	0
7	1
43	1
4	1
9	2
8	2
0	0
3	0
13	1
10	0
3	0
1	0
3	0
10	3
1	0
0	0
19	0
7	2
2	9
36	2
224	5
180	0
32	2
42	2
64	0
111	1
242	0
167	4
79	0
58	0
88	0
56	0
2	0
1	0
0	0
0	0
4	0
0	0
1	0
7	0
14	0
6	0
7	0
13	0
24	0
12	0
21	0
18	1
10	1
0	0
9	0
0	0
5	0
0	0
14	6
57	0
64	0
23	0
20	0
1	0
6	0
6	0
7	0
3	6
6	0
16	0
1	0
8	0
13	0
3	0
2	0
3	0
4	0
2	0
1	0
0	0
1	0
1	0
10	0
0	0
0	0
0	0
6	0
1	2
2	0
3	0
0	0
19	7
2	0
5	2
5	0
3	0
8	0
0	0
0	0
1	3
3	0
1079	16
92	7
3	0
4	0
7	0
6	0
0	0
1	0
1	0
2	0
0	0
2	0
4	0
0	0
17	0
27	1
36	0
17	0
0	0
6	0
2	0
7	0
0	0
0	0
3	0
11	0
2	0
2	1
2	1
1	0
0	0
2	0
2	0
3	0
3	0
0	0
0	0
3	0
3	0
6	1
5	0
12	0
2	0
0	0
3	0
3	0
1	0
10	0
10	1
4	1
6	1
126	2
42	0
9	0
14	0
43	0
38	1
9	0
16	0
41	0
28	0
7	0
1	0
0	0
2	0
2	0
4	0
0	0
2	0
0	0
20	1
27	16
16	1
21	2
12	0
36	4
10	11
1	0
3	0
9	1
5	3
24	6
26	3
6	4
12	0
17	1
17	1
14	2
6	1
0	0
0	0
17	3
4	1
0	0
0	0
19	0
0	0
1	0
1	0
7	0
1	0
2	0
1	0
0	18
5	8
1	0
1	0
3	0
4	0
3	0
5	0
2	0
2	0
19	3
38	6
1	0
0	0
1	0
6	0
8	0
17	0
5	0
1	0
5	0
2	0
2	0
0	0
1	1
20	0
0	0
2	0
2	0
2	0
1	0
4	0
6	0
3	0
7	0
3	0
6	0
9	0
5	0
4	1
16	2
17	2
34	0
14	0
1	0
0	0
0	0
0	0
3	0
1	0
7	0
3	0
0	0
0	0
2	0
3	0
3	0
0	0
2	0
0	0
0	1
2	2
2	1
6	1
3	0
6	0
0	1
2	0
3	0
7	0
5	0
19	5
2	0
8	0
0	0
8	1
7	0
1	0
1	0
7	1
3	3
14	0
1	0
1	0
0	0
3	2
3	0
3	1
139	64
2	0
4	0
9	2
8	1
11	0
1	3
0	0
1	0
6	0
106	2
45	0
4	0
0	0
0	0
2	0
0	0
13	0
2	1
5	2
1	0
1	0
3	0
7	1
11	2
0	1
3	0
9	0
0	0
2	0
0	0
0	0
0	0
0	0
3	0
7	0
3	0
22	0
18	0
3	0
0	0
0	0
40	0
3	5
2	0
2	0
1	0
0	1
3	0
1	0
5	1
109	1
2	0
0	0
0	0
4	0
33	2
13	0
18	1
2	1
0	0
1	0
4	0
8	0
12	1
10	1
45	0
7	0
6	0
15	0
0	0
1	2
52	2
7	0
1	0
1	0
1	0
18	0
4	0
0	0
3	1
9	4
10	0
6	1
58	0
32	2
13	0
3	0
11	1
1	0
1	0
0	2
0	0
0	0
2	1
0	0
1	0
3	0
5	0
0	0
3	0
0	0
0	1
4	0
4	2
1	0
8	0
6	3
8	1
5	0
1	0
4	0
2	0
17	0
7	0
15	0
3	2
994	64
25	1
0	0
11	0
3	0
4	0
0	0
0	0
201	86
2	0
0	1
7	0
3	0
7	0
4	0
23	17
0	13
35	0
2	0
0	0
2	1
5	0
2	0
37	0
0	0
2	14
29	3
9	0
8	14
1	0
2	4
1	0
4	0
0	0
2	0
6	0
6	0
4	0
2	0
0	0
1	0
8	0
1	0
0	0
3	0
11	0
0	0
3	0
17	1
6	0
119	5
10	1
0	2
7	0
14	0
6	0
0	0
4	0
3	0
3	0
0	0
7	0
9	0
0	0
2	0
13	0
1	0
1	0
10	0
2	0
8	0
0	0
0	0
0	4
4	0
27	0
29	0
7	0
11	0
20	0
3	0
0	0
21	5
0	0
0	0
7	0
2	0
1	0
1	0
1	0
3	0
4	0
3	1
2	1
0	0
7	0
0	0
2	0
1	13
3	1
1	0
66	0
3	0
0	0
4	0
58	0
3	2
2	0
13	1
0	0
8	1
4	0
1	0
4	0
7	0
7	0
6	0
12	0
4	0
2	2
